id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
160000622325;DEPUTADO ESTADUAL;ETEVALDO GONÇALVES TRINDADE;90777;ETEVALDO TRINDADE;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;CURITIBA;14/07/1962;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;16004.21;5468.19;4976.0;;;
160000624223;DEPUTADO ESTADUAL;ANDRE FERNANDO DOS REIS TRINDADE;23333;ANDRE TRINDADE;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;SERTÃO;06/03/1980;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;494516.33;56932.17;52532.17;;;
160000622038;DEPUTADO ESTADUAL;MARIA DE CASSIA FERRAZ ESPINOLA;19019;DRA KATITA;APTO;DEFERIDO;19;PODE;PODEMOS;SÃO JOSE DOS PINHAIS;31/03/1965;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO;555098.0;7393.33;6310.0;;;
160000609952;DEPUTADO FEDERAL;AROLDO GALDINO DE BRITO;1819;PASTOR GALDINO BRITO;APTO;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;LUCÉLIA;18/07/1962;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;AGENTE ADMINISTRATIVO;N;NÃO ELEITO;DEFERIDO;;1425.0;500.0;1819.0;0,00%;241.0
160000622298;DEPUTADO ESTADUAL;ADEMIR MELIM;90690;ADEMIR MELIM;INAPTO;RENÚNCIA;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;BALNEARIO CAMBURIU;06/02/1974;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;GERENTE;N;;;;350.0;;;;
160000623056;DEPUTADO ESTADUAL;CLEOMAR LEORATTO SILVEIRA;13555;CLEOMAR GAUCHÃO DO PAVER;INAPTO;INDEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PARANATINGA;05/05/1981;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);PARDA;OUTROS;N;NÃO ELEITO;INDEFERIDO COM RECURSO;;;;;;
160000627553;DEPUTADO ESTADUAL;ALBINO STEHR JUNIOR;27027;DAMASCENO JUNIOR;APTO;DEFERIDO;27;DC;DEMOCRACIA CRISTÃ;CASCAVEL;01/06/1983;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;VEREADOR;N;SUPLENTE;INDEFERIDO COM RECURSO;33000.0;15360.0;10800.0;;;
160000628775;DEPUTADO ESTADUAL;MARCIA CRISTINA FERREIRA DRUMOND;43431;DRUMOND;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CURITIBA;23/12/1959;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;;;;;
160000623023;DEPUTADO FEDERAL;RUI DALCION ROCHA ROSSETIM;1356;RUI ROSSETIM;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PRUDENTÓPOLIS;26/06/1956;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;812091.59;29460.21;20139.22;1356.0;0,04%;2069.0
160000623308;DEPUTADO ESTADUAL;JOICE CRISTINA LUZ VILLELA DA COSTA;11083;JOICINHA;APTO;DEFERIDO;11;PP;PROGRESSISTAS;CURITIBA;30/05/1983;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ATLETA PROFISSIONAL E TÉCNICO EM DESPORTOS;N;SUPLENTE;DEFERIDO;;30026.4;29700.6;;;
160000623141;DEPUTADO FEDERAL;RICARDO JOSE MAGALHÃES BARROS;1151;RICARDO BARROS;APTO;DEFERIDO;11;PP;PROGRESSISTAS;MARINGA;15/11/1959;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;S;ELEITO POR QP;DEFERIDO;5529650.21;1994838.83;1994812.04;1151.0;1,40%;80025.0
160000626169;DEPUTADO FEDERAL;EDSON LUIZ BAGIO;3699;EDSON BAGGIO;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;COLOMBO;28/07/1967;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;;8144.0;5444.0;3699.0;0,02%;896.0
160000623071;DEPUTADO FEDERAL;JOSE CARLOS OLIVEIRA;1344;JOSE CARLOS;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PARANAVAI;13/04/1951;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO;20000.0;15000.0;15000.0;1344.0;0,01%;371.0
160000625778;DEPUTADO ESTADUAL;MARCIO APARECIDO PEIXOTO;50567;MARCIO PEIXOTO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;MARINGÁ;07/10/1980;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;N;NÃO ELEITO;DEFERIDO;21640.0;3330.9700000000003;3330.0;;;
160000610020;DEPUTADO ESTADUAL;CLODOALDO SALUSTIANO DE MORAIS;54233;ALDO MORAES;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;LONDRINA;28/06/1970;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PRETA;MÚSICO;N;SUPLENTE;DEFERIDO;145000.0;1200.0;1200.0;;;
160000612894;DEPUTADO ESTADUAL;VALDECIR ALBIERI;43700;CIR ALBIERI;APTO;DEFERIDO;43;PV;PARTIDO VERDE;APUCARANA;15/05/1964;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;375395.83;137850.0;117300.0;;;
160000621507;GOVERNADOR;GEONISIO CESAR MARINHO;28;GEONISIO MARINHO;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;CURITIBA;01/11/1957;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ECONOMISTA;N;NÃO ELEITO;DEFERIDO;305900.0;21700.0;1000.0;;;
160000609987;DEPUTADO FEDERAL;BRUNA HACCOURT CAMARGO;5445;BRUNA DA MOVE;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;CURITIBA;09/07/1990;FEMININO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);PRETA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;2000.0;3200.0;2400.0;5445.0;0,01%;629.0
160000619753;DEPUTADO ESTADUAL;JOZAINE BATISTA MENDES CONCEIÇÃO E SILVA;12321;JÔ BAKA;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;LONDRINA;23/12/1963;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;255587.04;63278.48;58667.4;;;
