id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
240000617003;1º SUPLENTE;MARINA NIENOW DE BARROS;290;MARINA NIENOW DE BARROS;APTO;INDEFERIDO COM RECURSO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;TIMBÓ;21/08/1961;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;N;NÃO ELEITO;INDEFERIDO COM RECURSO;5000.0;;;;;
240000609567;DEPUTADO ESTADUAL;DIRCE APARECIDA HEIDERSCHEIDT;15234;DIRCE HEIDERSCHEIDT;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;ARARUNA;06/09/1957;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ASSISTENTE SOCIAL;S;SUPLENTE;DEFERIDO;822316.06;800688.9;800688.9;;;
240000627264;DEPUTADO ESTADUAL;CLAUDIA APARECIDA HANSEN SANTOS;11193;CLÁUDIA BOMBEIRA;APTO;DEFERIDO;11;PP;PROGRESSISTAS;ITAJAI;17/06/1982;FEMININO;ENSINO FUNDAMENTAL COMPLETO;DIVORCIADO(A);BRANCA;BOMBEIRO CIVIL;N;SUPLENTE;DEFERIDO;281000.0;124618.0;100482.35;;;
240000629577;DEPUTADO FEDERAL;GABRIELA BELMIRO HERMENEGILDO;1545;GABRIELA BELMIRO;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;TUBARAO;30/05/1991;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;;80000.0;80000.0;1545.0;0,03%;889.0
240000609699;DEPUTADO ESTADUAL;VALDEMAR IGNACZUK;17025;RABUJA;INAPTO;INDEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;RIO DO CAMPO;20/02/1977;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;N;NÃO ELEITO;INDEFERIDO COM RECURSO;386138.74;22465.71;16886.55;;;
240000627306;DEPUTADO ESTADUAL;JANETE COUTO DE OLIVEIRA;44567;JANETE COUTO;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;SAO JOAQUIM;26/01/1969;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;ASSISTENTE SOCIAL;N;SUPLENTE;DEFERIDO;3800.0;52000.0;52000.0;;;
240000609628;DEPUTADO FEDERAL;HELENA MAZZINI MONTE BLANCO;4580;HELENA BLANCO;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SANTA MARIA;08/12/1989;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;N;SUPLENTE;DEFERIDO;;33702.06;30211.06;4580.0;0,02%;814.0
240000624494;DEPUTADO FEDERAL;ELVES BECKER;4433;ELVES BECKER;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;ARARANGUA;15/10/1962;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;DEFERIDO;642200.0;5000.0;;4433.0;0,02%;573.0
240000609749;DEPUTADO FEDERAL;NEURA MARIA CORRÊA COSTA;3606;NEURA COSTA;APTO;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;CRICIUMA;11/12/1960;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;DEFERIDO;886733.86;10177.37;10000.0;3606.0;0,02%;815.0
240000627231;DEPUTADO FEDERAL;OCTÁVIO HENRIQUE LOYOLA LOBO;1123;OCTÁVIO LOBO;APTO;DEFERIDO;11;PP;PROGRESSISTAS;JOINVILLE;03/10/1968;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;3075000.0;59720.0;42617.5;1123.0;0,05%;1940.0
